vehtypename,route,vehnr,tod,traveltime
Bus,165,3,07:43:39.0,2618.0
Bus,165,3825,07:47:16.0,2355.0
Bus,165,1889,07:48:21.0,2660.0
Bus,165,5622,07:53:08.0,2467.0
Bus,165,9475,08:06:12.0,2771.0
Bus,165,14253,08:07:19.0,2238.0
Bus,165,10905,08:07:39.0,2678.0
Bus,165,12852,08:08:31.0,2490.0
Bus,165,15712,08:11:17.0,2296.0
Bus,165,18152,08:28:38.0,3037.0
Bus,165,24996,08:31:00.0,2339.0
Bus,165,28836,08:41:43.0,2502.0
Bus,165,31714,08:48:42.0,2561.0
Bus,165,32627,08:58:21.0,3020.0
